ticker,start_time,Q_shares,v60,realized_vol,volume_cv,twap_fill,vwap_fill,twap_is,vwap_is,market_vwap,twap_slip_mvwap,vwap_slip_mvwap,twap_avg_price,vwap_avg_price,p0,is_diff_vwap_minus_twap,vwap_better_is,slip_diff_vwap_minus_twap,vwap_better_mvwap
MSFT,2026-02-05 15:35:00-05:00,121390.53,12139053.0,0.012717565409865,0.683863290257359,1.0,1.0,1.9842122395833144,2.152473080548134,396.02747308054813,-0.1682608409648196,0.0,395.8592122395833,396.02747308054813,393.875,0.1682608409648196,False,0.1682608409648196,False
NVDA,2026-02-10 14:35:00-05:00,94748.53,9474853.0,0.0048287440188838,0.1923398476286927,1.0,1.0,-0.1208305358886434,-0.1167877578421041,188.988207969697,-0.0040427780465961,-5.684341886080803e-14,188.9841651916504,188.98820796969693,189.10499572753903,0.0040427780465392,False,0.0040427780465392,False
NVDA,2026-02-19 14:40:00-05:00,76549.06,7654906.0,0.003744162409077,0.2898409906315892,1.0,1.0,0.1911951700846543,0.2369678414789007,186.86697272429143,-0.0457726713942747,-2.8421709430404014e-14,186.82120005289715,186.8669727242914,186.6300048828125,0.0457726713942463,False,0.0457726713942463,False
NVDA,2025-12-02 12:30:00-05:00,116812.77,11681277.0,0.0052610173838576,0.2079847815261862,1.0,1.0,-0.3289960225423272,-0.3519800731339444,181.7771245411239,0.0229840505915888,-2.8421709430404014e-14,181.80010859171549,181.77712454112387,182.1291046142578,-0.0229840505916172,True,-0.0229840505916172,True
SPY,2026-02-10 12:50:00-05:00,66361.11,6636111.0,0.0017425319212606,0.4768134669682213,1.0,1.0,-1.293462117512945,-1.5896708132909223,693.9603169796778,0.2962086957779775,0.0,694.2565256754558,693.9603169796778,695.5499877929688,-0.2962086957779775,True,-0.2962086957779775,True
AAPL,2026-02-06 15:40:00-05:00,76199.6,7619960.0,0.0131049397521978,0.6344880665396239,1.0,1.0,-2.6038589477539062,-2.4935088029030794,275.60649730061266,-0.1103501448509405,-1.1368683772161605e-13,275.4961471557617,275.60649730061255,278.1000061035156,0.1103501448508268,False,0.1103501448508268,False
AMZN,2025-12-12 12:30:00-05:00,17403.0,1740300.0,0.0036584213644452,0.2292659953809403,1.0,1.0,0.175479888916044,0.1953827729269335,226.675378500466,-0.0199028840109178,-2.8421709430404014e-14,226.65547561645508,226.67537850046597,226.47999572753903,0.0199028840108894,False,0.0199028840108894,False
AAPL,2026-01-26 15:35:00-05:00,224151.66,22415166.0,0.0189875429062811,1.7123804470230846,0.9613943746836404,1.0,3.139745229962557,1.7904972432786508,257.41549724327865,1.3492479866839062,0.0,258.76474522996256,257.41549724327865,255.625,-1.3492479866839062,True,-1.3492479866839062,True
AMZN,2026-01-21 12:15:00-05:00,25080.74,2508074.0,0.0052905504020322,0.2495831745573492,1.0,1.0,-0.1005668640137003,-0.1620537520641392,227.8679450272327,0.0614868880504388,0.0,227.92943191528315,227.8679450272327,228.02999877929688,-0.0614868880504388,True,-0.0614868880504388,True
AMZN,2026-02-09 11:10:00-05:00,89924.45,8992445.0,0.0068084159613197,0.3908806155866938,0.9999999999999996,1.0,0.6631952921550237,0.9661796305341568,210.77617718912788,-0.3029843383791046,2.8421709430404014e-14,210.47319285074877,210.7761771891279,209.80999755859375,0.3029843383791331,False,0.3029843383791331,False
NVDA,2026-02-05 10:25:00-05:00,188568.77,18856877.0,0.0123505917721026,0.1639886532915414,1.0,1.0,1.0058428446452012,0.9868971542460656,172.57190386811322,0.018945690399164,2.8421709430404014e-14,172.5908495585124,172.57190386811325,171.5850067138672,-0.0189456903991356,True,-0.0189456903991356,True
MSFT,2026-02-20 15:50:00-05:00,92704.03,9270403.0,0.0151571058681629,0.9745410449347194,1.0,1.0,-6.836451212565009,-6.119919373879441,391.0366663194799,-0.716531838685512,5.684341886080803e-14,390.3201344807944,391.03666631947993,397.1565856933594,0.7165318386855688,False,0.7165318386855688,False
MSFT,2026-01-08 15:50:00-05:00,39266.67,3926667.0,0.0097830905360963,0.6548714270946064,1.0,1.0,-3.5145594278970407,-3.2692549833832913,474.9507462373198,-0.2453044445136925,5.684341886080803e-14,474.7054417928061,474.95074623731983,478.2200012207031,0.2453044445137493,False,0.2453044445137493,False
NVDA,2025-12-16 09:45:00-05:00,197939.73,19793973.0,0.0068307748282333,0.2799830778451456,1.0,1.0,0.1428476969400378,0.1445501622363565,176.6109503087208,-0.0017024652963755,-5.684341886080803e-14,176.6092478434244,176.61095030872073,176.46640014648438,0.0017024652963186,False,0.0017024652963186,False
AAPL,2026-01-23 09:40:00-05:00,55611.380000000005,5561138.0,0.0095162209015459,0.4293183628784604,1.0,1.0,0.5261726379394247,0.2945229886335028,246.1246163724225,0.2316496493059503,2.8421709430404014e-14,246.3562660217285,246.12461637242257,245.83009338378903,-0.2316496493059219,True,-0.2316496493059219,True
AMZN,2026-02-11 14:10:00-05:00,209993.09,20999309.0,0.002951254605002,2.813660454678791,0.7785121604080718,1.0,-0.1137694788588703,-0.1696815629602497,204.80021284621947,0.0559120841013509,-2.8421709430404014e-14,204.8561249303208,204.80021284621944,204.9698944091797,-0.0559120841013793,True,-0.0559120841013793,True
MSFT,2026-01-15 13:10:00-05:00,12987.92,1298792.0,0.0023858029985765,0.2827972607063659,0.9999999999999996,1.0,-0.7946701049803551,-0.9811818302421784,458.55382183186725,0.1865117252617665,-5.684341886080803e-14,458.740333557129,458.5538218318672,459.5350036621094,-0.1865117252618233,True,-0.1865117252618233,True
NVDA,2026-02-20 09:55:00-05:00,227920.7,22792070.0,0.0074592774756329,0.2534364705955926,1.0,1.0,0.5394795735676894,0.5663811070152178,188.2163750034996,-0.0269015334475,2.8421709430404014e-14,188.1894734700521,188.2163750034996,187.6499938964844,0.0269015334475284,False,0.0269015334475284,False
AAPL,2026-02-18 11:00:00-05:00,21524.22,2152422.0,0.0032162035171637,0.2648552047654301,1.0,1.0,0.2978235880534043,0.3522951392416757,265.68228171150736,-0.0544715511883282,-5.684341886080803e-14,265.62781016031903,265.6822817115073,265.3299865722656,0.0544715511882714,False,0.0544715511882714,False
MSFT,2026-01-09 12:35:00-05:00,8957.12,895712.0,0.0021049264887546,0.2032491574684856,0.9999999999999998,1.0,-0.613983154296875,-0.6523024493707226,476.7327073162543,0.0383192950738475,0.0,476.7710266113281,476.7327073162543,477.385009765625,-0.0383192950738475,True,-0.0383192950738475,True
